,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Prevalence in males (%),Prevalence in females (%),Population_x,"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)",Population_y,Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number) (people suffering from depression),20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
615,Bhutan,BTN,2017,0.267637210022,0.595887021542,0.172339624531,3.80143151955,0.534974457794,3.43933373821999,2.37437288081999,2.84436921675,4.11178520735,746000.0,5.71779936563934,3327.84960248,746000.0,29328.8415354,2.94559743712,1.10904971317,3.16948631536,7.3931446784,3.62207476986999,2.43518881615,3.25675245042999,6.47384287162,3.43933373821999,3.60684097395
643,Bolivia,BOL,2017,0.193935503544,0.854218133609,0.305250563203999,4.2436251608,0.886176711202,3.08590479324,1.60192270731,2.38437879881,3.75634283572,11193000.0,6.41084841243179,2984.00170113,11193000.0,314645.789076,3.16673379183,1.01576404967,2.83257947513999,5.7509622487,3.5521116518,2.40335277879,3.37632006850999,5.50452394724,3.08590479324,3.41273069793
671,Bosnia and Herzegovina,BIH,2017,0.20070295069,0.718189697692,0.172474446404,3.4026360848,0.433415503059,2.3196099561,2.82863332116,1.81309525201,2.7803859339,3352000.0,6.84715139293552,2207.15976904,3352000.0,96446.2488062,2.46169889503,0.945017613567,2.92029500714,4.96819791619999,2.5260806649,2.05762503989,2.50477136986,3.9329082118,2.3196099561,2.58012311009
699,Botswana,BWA,2017,0.181927802991,0.638942608735,0.227732855648,3.5063390343,0.752750450559,3.96812945655,1.61433918986,3.49130173333,4.38315650122,2205000.0,10.0075606409264,3826.10797458999,2205000.0,80248.3420709,4.06990330966,1.40471115659,3.65605505072999,7.71450708953,4.37998023097999,3.28476608201,4.14652437958,6.58752097499999,3.96812945655,4.45489427189
727,Brazil,BRA,2017,0.205534039798,1.10691471224,0.277050765272,6.06917950422,1.0616813337,3.29736759001,2.68358050526,2.35601898559,4.16525691894,207834000.0,6.08930436994051,3155.45218169999,207834000.0,7221483.15341,3.41746452148,2.11308849698,3.52967279844,5.36257154721,3.63381828041,3.11288506779999,3.52734356339,5.24078580493,3.29736759001,3.71186117537999
755,Brunei,BRN,2017,0.272367500918999,0.629945103406999,0.536251850899,3.62141449499,0.906696952623,2.56198290667,0.791919193831,1.91262274261,3.2443904955,424000.0,6.22496353509288,2335.36219394,424000.0,10796.430037,3.38260644744,1.43392593025,2.70885441367,3.36387874135,3.17047022641,2.98128874212,3.26912144588999,3.29784151272,2.56198290667,3.19532225035
783,Bulgaria,BGR,2017,0.202455336778,0.630776128787,0.202411206361,3.58752080113999,0.70428917681,2.54314069114,1.82082614316,2.01581493084,3.0110116039,7102000.0,9.48081973905006,2413.7852681,7102000.0,234483.698261,2.54448543255,0.922594546779,3.42200711271,5.81040063226,2.67920115513,2.05531378148,2.61855337347999,4.55756067976,2.54314069114,2.80340546185
811,Burkina Faso,BFA,2017,0.164744558656,0.622073534636,0.113354225407,2.90023899431,0.444063303027,3.6942535918,1.00179607154,3.02944816745,4.26553545956,19193000.0,13.2111104518266,3660.65987975999,19193000.0,536754.225409,3.34556580605,1.18200120492,2.57621713473,8.06792749142,4.2439584225,2.65015617716,3.82651172863,6.72013199442,3.6942535918,3.86195624945
839,Burundi,BDI,2017,0.154394080898,0.613041852212,0.0908023408812,3.58576009808999,0.5000843212,3.72122770632,1.56930932534,3.12042617758,4.33014519967,10827000.0,12.6173357315115,3644.78707297,10827000.0,280877.606481,3.46793999292,1.59590340286,2.65525871454,8.16786957925,3.86781047697,3.30980461877,3.63223826915,6.65802961069,3.72122770632,3.85021106032
867,Cambodia,KHM,2017,0.208266148232,0.509922388331,0.108378572317,3.28974518826,0.570337424577,3.09494529697999,0.844038411425,2.58335057217,3.51976773466,16009000.0,4.54430265351793,3033.35963224,16009000.0,448301.502911,2.94845864896,1.11525459534,2.84212268817,6.19960641978,3.12143398001,2.56180156816,2.95438691251,5.95179059376,3.09494529697999,3.25797247183
